CCLE.raw_treatmentid	CCLE.target	CCLE.mechanismOfAction	CCLE.class	CCLE.highestClinicalTrialPhase	CCLE.treatmentSourceOrganization	CCLE.treatmentid
Erlotinib	EGFR	EGFR  Inhibitor	Kinase inhibitor	Launched-2004	Genentech	ERLOTINIB
Lapatinib	EGFR, HER2	EGFR and HER2 Inhibitor	Kinase inhibitor	Launched-2007	GlaxoSmithKline	LAPATINIB
PHA-665752	c-MET	c-MET Inhibitor	Kinase inhibitor	Preclinical	Pfizer	PHA665752
PF-2341066	c-MET, ALK	c-MET and ALK Inhibitor	Kinase inhibitor	Launched-2011	Pfizer	PF2341066
TAE684	ALK	ALK Inhibitor	Kinase inhibitor	Preclinical	Novartis	TAE684
Vandetanib	Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4	Multi-kinase inhibitor	Kinase inhibitor	Launched-2011	AstraZeneca	VANDETANIB
Nilotinib	Abl/Bcr-Abl	Abl Inhibitor	Kinase inhibitor	Launched-2007	Novartis	NILOTINIB
AZD0530	Src, Abl/Bcr-Abl, EGFR	Src and Abl inhibitor	Kinase inhibitor	Phase II	AstraZeneca	AZD0530
Sorafenib	Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4	Multi-kinase inhibitor	Kinase inhibitor	Launched-2005	Bayer	SORAFENIB
TKI258	EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR	Multi-kinase inhibitor	Kinase inhibitor	Phase III	Novartis	TKI258
PD-0332991	CDK4/6	CDK4/6 Inhibitor	Kinase inhibitor	Phase II	Pfizer	PD0332991
AEW541	IGF-1R	IGF-1R Inhibitor	Kinase inhibitor	Preclinical	Novartis	AEW541
RAF265	Raf kinase B, KDR	Raf kinase B and KDR Inhibitor	Kinase inhibitor	Phase I	Novartis	RAF265
PLX4720	RAF	Raf kinase B Inhibitor	Kinase inhibitor	Preclinical	Plexxikon	PLX4720
PD-0325901	MEK	MEK1 and MEK2 Inhibitor	Kinase inhibitor	Discontinued	Pfizer	PD0325901
AZD6244	MEK	MEK1 and MEK2 Inhibitor	Kinase inhibitor	Phase II	AstraZeneca	AZD6244
Nutlin-3	MDM2	MDM2 Inhibitor	Other targeted therapies	Preclinical	Roche	NUTLIN3
LBW242	IAP	Inhibitor of Apoptosis Proteins (IAP) Inhibitor	Other targeted therapies	Preclinical	Novartis	LBW242
17-AAG	HSP90	Heat Shock Protein 90 (hsp90) Inhibitor	Other targeted therapies	Phase III	Bristol-Myers Squibb	17AAG
L-685458	Gamma Secretase	gamma-Secretase Inhibitor	Other targeted therapies	Preclinical	Merck Sharp & Dohme	L685458
Panobinostat  	HDAC	Histone Deacetylase (HDAC) Inhibitor	Other targeted therapies	Pre-Registered	Novartis	PANOBINOSTAT
Paclitaxel	beta-tubulin	Microtubule-Stabilizing Agents	Cytotoxic	Launched-1993	Bristol-Myers Squibb	PACLITAXEL
Irinotecan	Topoisomerase I	DNA Topoisomerase I Inhibitor	Cytotoxic	Launched-1994	Pfizer	IRINOTECAN
Topotecan	Topoisomerase I	DNA Topoisomerase I Inhibitor	Cytotoxic	Launched-1996	GlaxoSmithKline	TOPOTECAN
